City,Population,Pop2,Violent_crime,Murder_nonneg_nonman,Rape1,Rape2,Robbery,Agg_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson3
Cobleskill Village,4503.00,20277009.00,5.00,0.00,,0.00,3.00,2.00,218.00,14.00,204.00,0.00,1.00
Coeymans Town,7458.00,55621764.00,39.00,0.00,,2.00,0.00,37.00,86.00,13.00,69.00,4.00,1.00
Cohoes,16179.00,261760041.00,26.00,0.00,,1.00,11.00,14.00,243.00,65.00,163.00,15.00,
Colonie Town,78215.00,6117586225.00,63.00,0.00,,0.00,31.00,32.00,1990.00,186.00,1753.00,51.00,10.00
Cooperstown Village,1827.00,3337929.00,1.00,0.00,,0.00,0.00,1.00,16.00,2.00,14.00,0.00,
Corning,11087.00,122921569.00,35.00,0.00,,3.00,8.00,24.00,416.00,63.00,349.00,4.00,0.00
Cornwall-on-Hudson Village,2978.00,8868484.00,2.00,0.00,,0.00,0.00,2.00,22.00,8.00,14.00,0.00,
Cornwall Town,9543.00,91068849.00,1.00,0.00,,0.00,0.00,1.00,42.00,10.00,32.00,0.00,
Cortland,19331.00,373687561.00,18.00,0.00,,3.00,3.00,12.00,398.00,88.00,306.00,4.00,1.00
Crawford Town,9264.00,85821696.00,11.00,0.00,,0.00,2.00,9.00,113.00,16.00,97.00,0.00,
Croton-on-Hudson Village,8180.00,66912400.00,1.00,0.00,,0.00,1.00,0.00,53.00,8.00,43.00,2.00,
Cuba Town,3209.00,10297681.00,5.00,0.00,,1.00,0.00,4.00,81.00,7.00,72.00,2.00,0.00
Dansville Village,4605.00,21206025.00,2.00,0.00,,0.00,1.00,1.00,152.00,24.00,120.00,8.00,0.00
Deerpark Town,7827.00,61261929.00,7.00,0.00,,2.00,2.00,3.00,152.00,52.00,100.00,0.00,
Delhi Village,2985.00,8910225.00,1.00,0.00,,0.00,0.00,1.00,36.00,4.00,30.00,2.00,
Depew Village,15189.00,230705721.00,17.00,0.00,,3.00,2.00,12.00,310.00,54.00,251.00,5.00,2.00
Deposit Village,1628.00,2650384.00,0.00,0.00,,0.00,0.00,0.00,14.00,6.00,8.00,0.00,0.00
Dewitt Town,22681.00,514427761.00,20.00,0.00,,0.00,10.00,10.00,715.00,85.00,618.00,12.00,0.00
Dexter Village,1122.00,1258884.00,0.00,0.00,,0.00,0.00,0.00,8.00,2.00,6.00,0.00,0.00
Dobbs Ferry Village,11021.00,121462441.00,1.00,0.00,,0.00,0.00,1.00,104.00,13.00,89.00,2.00,0.00
Dolgeville Village,2191.00,4800481.00,7.00,0.00,,0.00,0.00,7.00,41.00,6.00,34.00,1.00,
Dryden Village,1913.00,3659569.00,3.00,0.00,,0.00,1.00,2.00,99.00,6.00,93.00,0.00,
Dunkirk,12329.00,152004241.00,40.00,0.00,,0.00,12.00,28.00,307.00,78.00,228.00,1.00,
East Aurora-Aurora Town,13774.00,189723076.00,5.00,0.00,,0.00,2.00,3.00,131.00,24.00,105.00,2.00,0.00
Eastchester Town,19800.00,392040000.00,2.00,0.00,,0.00,0.00,2.00,168.00,13.00,154.00,1.00,0.00
East Fishkill Town,29315.00,859369225.00,9.00,1.00,,0.00,1.00,7.00,165.00,18.00,141.00,6.00,
East Greenbush Town,16470.00,271260900.00,12.00,0.00,,0.00,4.00,8.00,373.00,36.00,330.00,7.00,4.00
East Hampton Town,19674.00,387066276.00,20.00,0.00,,2.00,1.00,17.00,300.00,56.00,237.00,7.00,
East Hampton Village,1104.00,1218816.00,0.00,0.00,,0.00,0.00,0.00,66.00,4.00,60.00,2.00,0.00
East Rochester Village,6596.00,43507216.00,8.00,1.00,,0.00,3.00,4.00,125.00,25.00,97.00,3.00,
East Syracuse Village,3036.00,9217296.00,8.00,0.00,,0.00,4.00,4.00,147.00,19.00,121.00,7.00,0.00
Eden Town,7684.00,59043856.00,1.00,0.00,,0.00,0.00,1.00,31.00,7.00,24.00,0.00,0.00
Ellenville Village,4124.00,17007376.00,17.00,0.00,,1.00,2.00,14.00,173.00,41.00,132.00,0.00,1.00
Ellicott Town,5144.00,26460736.00,7.00,0.00,,1.00,1.00,5.00,288.00,53.00,235.00,0.00,
Elmira,28921.00,836424241.00,81.00,0.00,,2.00,29.00,50.00,1027.00,224.00,790.00,13.00,
Elmira Heights Village,4079.00,16638241.00,2.00,0.00,,0.00,1.00,1.00,89.00,9.00,78.00,2.00,0.00
Elmira Town,5948.00,35378704.00,0.00,0.00,,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00
Endicott Village,13122.00,172186884.00,46.00,0.00,,4.00,13.00,29.00,604.00,138.00,455.00,11.00,
Evans Town,16292.00,265429264.00,17.00,0.00,,1.00,1.00,15.00,313.00,48.00,259.00,6.00,5.00
Fairport Village,5335.00,28462225.00,5.00,0.00,,1.00,0.00,4.00,53.00,13.00,37.00,3.00,
Fallsburg Town,12109.00,146627881.00,22.00,1.00,,0.00,0.00,21.00,162.00,65.00,96.00,1.00,
Fishkill Town,20435.00,417589225.00,3.00,0.00,,0.00,1.00,2.00,276.00,28.00,243.00,5.00,0.00
Floral Park Village,15926.00,253637476.00,14.00,0.00,,2.00,7.00,5.00,72.00,16.00,44.00,12.00,0.00
Florida Village,2842.00,8076964.00,0.00,0.00,,0.00,0.00,0.00,44.00,5.00,39.00,0.00,
Fort Plain Village,2265.00,5130225.00,4.00,0.00,,0.00,1.00,3.00,90.00,23.00,65.00,2.00,
Frankfort Town,5033.00,25331089.00,0.00,0.00,,0.00,0.00,0.00,50.00,22.00,27.00,1.00,
Frankfort Village,2579.00,6651241.00,5.00,0.00,,0.00,0.00,5.00,33.00,4.00,28.00,1.00,
Franklinville Village,1702.00,2896804.00,1.00,0.00,,0.00,1.00,0.00,32.00,0.00,32.00,0.00,0.00
Fredonia Village,10988.00,120736144.00,10.00,0.00,,2.00,5.00,3.00,208.00,26.00,182.00,0.00,
Freeport Village,43214.00,1867449796.00,152.00,0.00,,2.00,76.00,74.00,933.00,168.00,698.00,67.00,8.00
Friendship Town,1960.00,3841600.00,0.00,0.00,,0.00,0.00,0.00,16.00,6.00,10.00,0.00,0.00
Fulton City,11739.00,137804121.00,24.00,0.00,,3.00,7.00,14.00,463.00,81.00,376.00,6.00,1.00
Garden City Village,22596.00,510579216.00,10.00,0.00,,0.00,4.00,6.00,346.00,33.00,303.00,10.00,2.00
