City,Population,Pop2,Violent_crime,Murder_nonneg_nonman,Rape1,Rape2,Robbery,Agg_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson3
Old Westbury Village,4625.00,21390625.00,1.00,0.00,,0.00,0.00,1.00,39.00,6.00,29.00,4.00,0.00
Olean,14150.00,200222500.00,40.00,0.00,,5.00,5.00,30.00,593.00,76.00,508.00,9.00,
Oneida,11220.00,125888400.00,18.00,0.00,,2.00,4.00,12.00,434.00,68.00,357.00,9.00,
Oneonta City,13825.00,191130625.00,21.00,0.00,,3.00,11.00,7.00,311.00,69.00,238.00,4.00,3.00
Orangetown Town,37438.00,1401603844.00,37.00,0.00,,1.00,13.00,23.00,317.00,41.00,262.00,14.00,
Orchard Park Town,29386.00,863536996.00,16.00,0.00,,2.00,4.00,10.00,346.00,37.00,297.00,12.00,0.00
Oriskany Village,1385.00,1918225.00,0.00,0.00,,0.00,0.00,0.00,10.00,2.00,8.00,0.00,0.00
Ossining Village,25314.00,640798596.00,36.00,0.00,,0.00,21.00,15.00,243.00,46.00,192.00,5.00,0.00
Oswego City,18139.00,329023321.00,54.00,1.00,,3.00,13.00,37.00,630.00,83.00,533.00,14.00,
Owego Village,3818.00,14577124.00,9.00,0.00,,1.00,2.00,6.00,199.00,39.00,156.00,4.00,
Oxford Village,1433.00,2053489.00,2.00,0.00,,0.00,1.00,1.00,13.00,1.00,12.00,0.00,0.00
Oyster Bay Cove Village,4233.00,17918289.00,0.00,0.00,,0.00,0.00,0.00,19.00,3.00,16.00,0.00,0.00
Painted Post Village,2116.00,4477456.00,1.00,0.00,,0.00,0.00,1.00,73.00,5.00,66.00,2.00,1.00
Palmyra Village,3475.00,12075625.00,4.00,0.00,,0.00,0.00,4.00,41.00,9.00,31.00,1.00,
Peekskill,23908.00,571592464.00,30.00,0.00,,0.00,8.00,22.00,248.00,25.00,215.00,8.00,
Pelham Manor Village,5558.00,30891364.00,2.00,0.00,,0.00,1.00,1.00,147.00,14.00,130.00,3.00,
Pelham Village,6982.00,48748324.00,7.00,0.00,,1.00,2.00,4.00,172.00,22.00,149.00,1.00,
Penn Yan Village,5123.00,26245129.00,4.00,0.00,,1.00,1.00,2.00,111.00,21.00,89.00,1.00,0.00
Perry Village,3633.00,13198689.00,3.00,0.00,,0.00,0.00,3.00,99.00,14.00,84.00,1.00,
Piermont Village,2550.00,6502500.00,1.00,0.00,,1.00,0.00,0.00,19.00,6.00,13.00,0.00,
Pine Plains Town,2460.00,6051600.00,1.00,0.00,,0.00,0.00,1.00,12.00,1.00,9.00,2.00,0.00
Plattekill Town,10374.00,107619876.00,8.00,0.00,,1.00,2.00,5.00,106.00,28.00,77.00,1.00,
Plattsburgh City,19672.00,386987584.00,39.00,0.00,,3.00,4.00,32.00,483.00,79.00,396.00,8.00,
Pleasantville Village,7100.00,50410000.00,0.00,0.00,,0.00,0.00,0.00,22.00,1.00,21.00,0.00,0.00
Port Byron Village,1274.00,1623076.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Port Chester Village,29328.00,860131584.00,48.00,0.00,,2.00,19.00,27.00,572.00,67.00,483.00,22.00,0.00
Port Dickinson Village,1602.00,2566404.00,0.00,0.00,,0.00,0.00,0.00,31.00,0.00,31.00,0.00,0.00
Port Jervis,8689.00,75498721.00,15.00,1.00,,3.00,3.00,8.00,284.00,67.00,214.00,3.00,3.00
Portville Village,997.00,994009.00,0.00,0.00,,0.00,0.00,0.00,8.00,1.00,7.00,0.00,0.00
Potsdam Village,9613.00,92409769.00,8.00,0.00,,1.00,0.00,7.00,190.00,17.00,168.00,5.00,
Poughkeepsie,30778.00,947285284.00,286.00,7.00,,16.00,100.00,163.00,787.00,189.00,589.00,9.00,
Poughkeepsie Town,43866.00,1924225956.00,39.00,1.00,,1.00,12.00,25.00,1339.00,125.00,1203.00,11.00,
Pound Ridge Town,5200.00,27040000.00,3.00,0.00,,0.00,0.00,3.00,33.00,15.00,18.00,0.00,
Pulaski Village,2354.00,5541316.00,1.00,0.00,,0.00,0.00,1.00,57.00,12.00,44.00,1.00,0.00
Quogue Village,977.00,954529.00,0.00,0.00,,0.00,0.00,0.00,41.00,13.00,27.00,1.00,0.00
Ramapo Town,87204.00,7604537616.00,57.00,2.00,,5.00,9.00,41.00,567.00,88.00,466.00,13.00,
Red Hook Village,1947.00,3790809.00,1.00,0.00,,0.00,0.00,1.00,30.00,6.00,24.00,0.00,0.00
Rensselaer City,9517.00,90573289.00,19.00,0.00,,4.00,3.00,12.00,159.00,44.00,108.00,7.00,2.00
Rhinebeck Village,2635.00,6943225.00,2.00,0.00,,0.00,0.00,2.00,42.00,0.00,41.00,1.00,0.00
Riverhead Town,33789.00,1141696521.00,64.00,0.00,,3.00,26.00,35.00,922.00,160.00,729.00,33.00,0.00
Rochester,210562.00,44336355844.00,2107.00,42.00,,92.00,918.00,1055.00,10051.00,2587.00,6855.00,609.00,132.00
Rockville Centre Village,24129.00,582208641.00,22.00,1.00,,1.00,11.00,9.00,271.00,30.00,223.00,18.00,0.00
Rome,32557.00,1059958249.00,47.00,4.00,,0.00,23.00,20.00,662.00,157.00,470.00,35.00,2.00
Rosendale Town,6026.00,36312676.00,1.00,0.00,,0.00,0.00,1.00,60.00,16.00,44.00,0.00,
Rotterdam Town,29146.00,849489316.00,33.00,2.00,,4.00,16.00,11.00,829.00,109.00,700.00,20.00,4.00
Rye Brook Village,9480.00,89870400.00,2.00,0.00,,0.00,2.00,0.00,88.00,9.00,77.00,2.00,0.00
Sag Harbor Village,2279.00,5193841.00,3.00,0.00,,0.00,1.00,2.00,71.00,17.00,53.00,1.00,0.00
Salamanca,5691.00,32387481.00,18.00,0.00,,1.00,2.00,15.00,155.00,38.00,105.00,12.00,
Sands Point Village,2715.00,7371225.00,0.00,0.00,,0.00,0.00,0.00,18.00,4.00,13.00,1.00,0.00
Saranac Lake Village,5369.00,28826161.00,26.00,1.00,,1.00,1.00,23.00,150.00,30.00,115.00,5.00,
Saratoga Springs,27081.00,733380561.00,33.00,1.00,,3.00,8.00,21.00,642.00,84.00,550.00,8.00,
Saugerties Town,19318.00,373185124.00,15.00,0.00,,3.00,5.00,7.00,319.00,51.00,268.00,0.00,0.00
Scarsdale Village,17564.00,308494096.00,1.00,0.00,,0.00,0.00,1.00,184.00,24.00,153.00,7.00,
Schenectady,66041.00,4361413681.00,607.00,8.00,,31.00,203.00,365.00,2800.00,769.00,1878.00,153.00,
Schodack Town,11573.00,133934329.00,4.00,0.00,,0.00,1.00,3.00,97.00,25.00,70.00,2.00,
Schoharie Village,872.00,760384.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Scotia Village,7700.00,59290000.00,5.00,1.00,,0.00,1.00,3.00,126.00,14.00,112.00,0.00,
Seneca Falls Town,2362.00,5579044.00,12.00,0.00,,0.00,1.00,11.00,292.00,49.00,238.00,5.00,
Shandaken Town,3043.00,9259849.00,4.00,0.00,,0.00,0.00,4.00,62.00,17.00,44.00,1.00,
Shawangunk Town,14205.00,201782025.00,3.00,0.00,,0.00,0.00,3.00,80.00,20.00,60.00,0.00,
Shelter Island Town,2412.00,5817744.00,3.00,0.00,,0.00,0.00,3.00,41.00,2.00,39.00,0.00,0.00
Sherburne Village,1351.00,1825201.00,1.00,0.00,,0.00,0.00,1.00,15.00,7.00,8.00,0.00,0.00
Sherrill,3064.00,9388096.00,4.00,0.00,,0.00,0.00,4.00,37.00,14.00,23.00,0.00,
Shortsville Village,1437.00,2064969.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sidney Village,3805.00,14478025.00,7.00,0.00,,4.00,1.00,2.00,185.00,21.00,161.00,3.00,
Skaneateles Village,2450.00,6002500.00,0.00,0.00,,0.00,0.00,0.00,10.00,2.00,8.00,0.00,0.00
Sleepy Hollow Village,9996.00,99920016.00,8.00,1.00,,0.00,1.00,6.00,58.00,9.00,47.00,2.00,0.00
Sodus Village,1805.00,3258025.00,0.00,0.00,,0.00,0.00,0.00,24.00,2.00,22.00,0.00,
Solvay Village,6487.00,42081169.00,19.00,0.00,,0.00,6.00,13.00,186.00,38.00,142.00,6.00,0.00
Southampton Town,50603.00,2560663609.00,44.00,0.00,,6.00,16.00,22.00,1020.00,219.00,752.00,49.00,1.00
Southampton Village,3161.00,9991921.00,3.00,0.00,,0.00,1.00,2.00,118.00,9.00,105.00,4.00,
South Glens Falls Village,3640.00,13249600.00,6.00,0.00,,1.00,1.00,4.00,114.00,17.00,95.00,2.00,
Southold Town,19963.00,398521369.00,12.00,0.00,,1.00,5.00,6.00,343.00,70.00,271.00,2.00,
Spring Valley Village,32288.00,1042514944.00,132.00,2.00,,9.00,34.00,87.00,404.00,53.00,335.00,16.00,
Stillwater Town,6587.00,43388569.00,1.00,0.00,,0.00,0.00,1.00,24.00,4.00,18.00,2.00,1.00
St. Johnsville Village,1691.00,2859481.00,3.00,0.00,,0.00,0.00,3.00,47.00,8.00,39.00,0.00,
Stony Point Town,15307.00,234304249.00,12.00,0.00,,0.00,1.00,11.00,107.00,18.00,83.00,6.00,
Suffern Village,10886.00,118504996.00,9.00,0.00,,0.00,1.00,8.00,60.00,11.00,48.00,1.00,0.00
Syracuse,143834.00,20688219556.00,1192.00,21.00,,75.00,400.00,696.00,6473.00,1781.00,4298.00,394.00,57.00
Tarrytown Village,11449.00,131079601.00,6.00,0.00,,0.00,3.00,3.00,110.00,12.00,94.00,4.00,0.00
Ticonderoga Town,4982.00,24820324.00,11.00,0.00,,4.00,0.00,7.00,94.00,23.00,71.00,0.00,
Tonawanda,14987.00,224610169.00,34.00,0.00,,0.00,4.00,30.00,315.00,24.00,289.00,2.00,4.00
Tonawanda Town,58082.00,3373518724.00,118.00,1.00,,5.00,26.00,86.00,1099.00,190.00,882.00,27.00,1.00
Troy,49898.00,2489810404.00,371.00,1.00,,14.00,145.00,211.00,1985.00,593.00,1305.00,87.00,5.00
Trumansburg Village,1820.00,3312400.00,2.00,0.00,,1.00,1.00,0.00,66.00,6.00,58.00,2.00,
Tuckahoe Village,6578.00,43270084.00,0.00,0.00,,0.00,0.00,0.00,35.00,7.00,27.00,1.00,0.00
Tupper Lake Village,3642.00,13264164.00,3.00,0.00,,0.00,0.00,3.00,83.00,22.00,59.00,2.00,
Tuxedo Park Village,615.00,378225.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ulster Town,12195.00,148718025.00,14.00,0.00,,3.00,2.00,9.00,437.00,25.00,410.00,2.00,
Utica,61686.00,3805162596.00,361.00,7.00,,27.00,102.00,225.00,2528.00,449.00,1997.00,82.00,
Vestal Town,27980.00,782880400.00,16.00,0.00,,2.00,6.00,8.00,571.00,39.00,523.00,9.00,
Walden Village,6887.00,47430769.00,18.00,1.00,,2.00,1.00,14.00,142.00,13.00,124.00,5.00,
Wallkill Town,27940.00,780643600.00,40.00,0.00,,3.00,16.00,21.00,767.00,91.00,650.00,26.00,1.00
Walton Village,3012.00,9072144.00,6.00,0.00,,1.00,0.00,5.00,68.00,18.00,50.00,0.00,
Warsaw Village,3453.00,11923209.00,6.00,0.00,,1.00,0.00,5.00,78.00,5.00,73.00,0.00,0.00
Washingtonville Village,5828.00,33965584.00,2.00,0.00,,0.00,1.00,1.00,58.00,5.00,51.00,2.00,0.00
Waterford Town and Village,8392.00,70425664.00,4.00,0.00,,0.00,0.00,4.00,59.00,6.00,52.00,1.00,0.00
Waterloo Village,5175.00,26780625.00,11.00,0.00,,0.00,3.00,8.00,194.00,23.00,169.00,2.00,
Watertown,28179.00,794056041.00,109.00,0.00,,12.00,16.00,81.00,1165.00,169.00,953.00,43.00,
Watervliet,10245.00,104960025.00,26.00,1.00,,3.00,11.00,11.00,242.00,58.00,163.00,21.00,
Watkins Glen Village,1862.00,3467044.00,6.00,0.00,,0.00,0.00,6.00,92.00,10.00,80.00,2.00,
Waverly Village,4337.00,18809569.00,5.00,0.00,,0.00,1.00,4.00,54.00,9.00,41.00,4.00,
Webster Town and Village,43777.00,1916425729.00,21.00,0.00,,2.00,3.00,16.00,469.00,101.00,361.00,7.00,
Weedsport Village,1797.00,3229209.00,0.00,0.00,,0.00,0.00,0.00,25.00,5.00,20.00,0.00,0.00
Wellsville Village,4574.00,20921476.00,11.00,0.00,,1.00,0.00,10.00,164.00,32.00,129.00,3.00,1.00
Westhampton Beach Village,1732.00,2999824.00,2.00,0.00,,0.00,0.00,2.00,44.00,4.00,37.00,3.00,0.00
West Seneca Town,44821.00,2008922041.00,35.00,1.00,,1.00,9.00,24.00,896.00,166.00,710.00,20.00,0.00
Whitehall Village,2604.00,6780816.00,6.00,0.00,,0.00,0.00,6.00,62.00,12.00,49.00,1.00,
White Plains,57559.00,3313038481.00,78.00,1.00,,3.00,28.00,46.00,1232.00,77.00,1134.00,21.00,
Whitesboro Village,3733.00,13935289.00,4.00,0.00,,0.00,0.00,4.00,36.00,14.00,21.00,1.00,0.00
Whitestown Town,9141.00,83557881.00,0.00,0.00,,0.00,0.00,0.00,77.00,13.00,61.00,3.00,0.00
Woodbury Town,10685.00,114169225.00,3.00,0.00,,0.00,2.00,1.00,541.00,9.00,529.00,3.00,
Woodridge Village,829.00,687241.00,7.00,0.00,,0.00,0.00,7.00,17.00,8.00,9.00,0.00,0.00
Woodstock Town,5931.00,35176761.00,2.00,0.00,,0.00,0.00,2.00,58.00,13.00,45.00,0.00,
Yonkers,199134.00,39654349956.00,1036.00,6.00,,25.00,390.00,615.00,2368.00,470.00,1662.00,236.00,10.00
Yorktown Town,36643.00,1342709449.00,15.00,0.00,,0.00,2.00,13.00,334.00,45.00,287.00,2.00,
